id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,lost luggage,noun phrase,hành lý thất lạc,/lɔːst ˈlʌɡɪdʒ/,Hành lý không đến nơi hoặc bị thất lạc trong quá trình vận chuyển.,The airline helped me report my lost luggage.,Hãng hàng không đã giúp tôi báo cáo hành lý thất lạc.,,,easy,B1,500,common,lost baggage,,"lose, lost, loss",report lost luggage; lost luggage claim,,report + lost luggage,Không nhầm luggage với baggage trong mọi ngữ cảnh.,Hai từ gần như đồng nghĩa trong du lịch.,Travel,lost = mất → lost luggage,association,Lost luggage = hành lý bị mất,TRUE,2,,
,lost property,noun phrase,đồ thất lạc,/lɒst ˈprɒpərti/,Đồ vật bị bỏ quên hoặc thất lạc và được bộ phận phụ trách giữ lại.,Please report lost property to the information desk.,Vui lòng báo đồ thất lạc tại quầy thông tin.,,,medium,B1,600,common,lost and found,,"lose, lost","lost property office, report lost property",,report lost property to + person,"Trong Anh-Anh, lost property phổ biến; Anh-Mỹ thường dùng lost and found.","Dùng ở sân bay, khách sạn, nhà ga.",Travel,"lost = thất lạc, property = đồ đạc",contrast,lost property = đồ thất lạc,TRUE,2,,
,lot,noun,lô hàng/lô sản phẩm,/lɑːt/,Một nhóm sản phẩm được sản xuất hoặc xử lý cùng nhau.,The defective lot was removed from production.,Lô sản phẩm bị lỗi đã được loại khỏi sản xuất.,,,medium,C1,850,extremely common,"batch, production lot",individual item,"lot, batch","production lot, lot number, defective lot",make up,make up a lot,"Lot có nhiều nghĩa; trong manufacturing là ""lô"".",Phân biệt lot với batch tùy hệ thống quản lý sản xuất.,Manufacturing / Quality,lot = group of items,context,Manufacturing lot = group made together.,TRUE,5,,
,lot area,noun phrase,diện tích lô đất,/lɑːt ˈeriə/,Tổng diện tích của một lô đất.,The listing states a lot area of 500 square meters.,Tin đăng ghi diện tích lô đất là 500 mét vuông.,,,medium,B2,700,common,"plot area, land area",,,"lot area, total lot area",,,Không nhầm lot area với floor area.,Lot area là diện tích đất; floor area là diện tích sàn.,Real Estate,lot = lô đất + area = diện tích,contrast,lot area = diện tích lô đất,TRUE,3,,
,lot number,noun phrase,số lô,/lɑːt ˈnʌmbər/,Mã dùng để xác định một lô hàng hoặc nhóm sản phẩm.,The lot number is printed on the label.,Số lô được in trên nhãn.,,,medium,B2,750,common,"lot code, batch number",,lot,"lot number, lot code",identify by,identify products by lot number,Lot có nhiều nghĩa; trong inventory nghĩa là lô hàng.,Rất phổ biến trong logistics/manufacturing.,Inventory / Logistics,lot = group of goods,polysemy,lot number identifies a group,TRUE,4,,
,lot size,noun phrase,diện tích lô đất,/lɑːt saɪz/,Kích thước hoặc diện tích của một lô đất.,The lot size is large enough for a three-bedroom house.,Diện tích lô đất đủ lớn cho một ngôi nhà ba phòng ngủ.,,,medium,B1,600,common,plot size,,lot,large lot size; residential lot size,,lot size of + measurement,"Lot trong bất động sản là lô đất, không phải “rất nhiều”.","Phổ biến trong quảng cáo bất động sản, đặc biệt Anh-Mỹ.",Real Estate,lot = lô đất + size = kích thước,association,lot size = diện tích lô đất,TRUE,2,,
,lounge,noun,phòng khách; khu vực thư giãn,/laʊndʒ/,"Khu vực trong nhà dùng để ngồi, thư giãn hoặc tiếp khách.",The guests were relaxing in the hotel lounge.,Khách đang thư giãn trong phòng chờ của khách sạn.,,,easy,A2,400,extremely common,"sitting room, living room",,lounge,"hotel lounge, airport lounge, lounge area",,lounge + noun,Không nhầm lounge với living room; lounge có thể chỉ phòng khách hoặc phòng chờ.,"Trong Anh-Anh, lounge thường tương đương living room.",Property / Hospitality,lounge = nơi nằm/ngồi thư giãn,association,lounge = phòng thư giãn,TRUE,1,,
,low demand,noun phrase,nhu cầu thấp,/ˌloʊ dɪˈmænd/,Mức nhu cầu đối với sản phẩm hoặc dịch vụ thấp.,Airlines may reduce flights when demand is low.,Các hãng hàng không có thể giảm chuyến bay khi nhu cầu thấp.,,,easy,B1,500,extremely common,weak demand,high demand,demand,"low demand, consumer demand, demand is low",,demand for + noun,Demand không đếm được khi nói chung về nhu cầu.,Rất phổ biến trong kinh doanh.,Business / Travel,"low = thấp, demand = nhu cầu",association,low demand = nhu cầu thấp,TRUE,2,,
,low performer,noun,nhân viên có hiệu suất thấp,/ləʊ pərˈfɔːrmər/,Người thường xuyên đạt kết quả công việc thấp hơn yêu cầu.,Managers should provide support to a low performer before taking disciplinary action.,Quản lý nên hỗ trợ nhân viên có hiệu suất thấp trước khi áp dụng kỷ luật.,,,medium,B2,700,common,"underperformer, low-performing employee",high performer,"perform, performance, performer","low performer, address low performance",perform poorly,performer with + low performance,Không nhầm low performer với misconduct; hiệu suất thấp không đồng nghĩa hành vi sai phạm.,Cách gọi thường dùng trong performance management.,Jobs / Recruitment,low + performer = người làm việc kém,contrast,low performer = hiệu suất thấp,TRUE,4,,
,low price,noun phrase,giá thấp,/loʊ praɪs/,Mức giá thấp so với mức thông thường hoặc so với đối thủ.,The retailer attracts customers by offering products at a low price.,Nhà bán lẻ thu hút khách hàng bằng cách cung cấp sản phẩm với giá thấp.,,,easy,A2,400,extremely common,"inexpensive price, affordable price",high price,"price, pricing, pricey","low price guarantee, offer a low price",,at + a/the + price,"Không nhầm low price với cheap; low price nói về mức giá, còn cheap có thể mang sắc thái “rẻ tiền”.",Rất phổ biến trong sales và shopping.,Marketing / Shopping,low = thấp + price = giá,association,low price = giá thấp,TRUE,1,,
,low season,noun phrase,mùa thấp điểm,/ˌloʊ ˈsiːzən/,Thời kỳ du lịch có ít khách và nhu cầu thấp.,Hotel rates are lower during the low season.,Giá khách sạn thấp hơn trong mùa thấp điểm.,,,easy,B1,500,common,off-season,peak season,"seasonal, season","low season rates, travel during the low season",,during the low season,Không nhầm low season với low demand; low season là khoảng thời gian.,Rất thường gặp trong du lịch và khách sạn.,Travel / Hospitality,low = thấp → ít khách,contrast,low season = mùa ít khách,TRUE,2,,
,low-calorie,adjective,ít calo; ít năng lượng,/ˌloʊ ˈkæləri/,Có hàm lượng calo thấp.,The menu includes several low-calorie lunch options.,Thực đơn có một số lựa chọn bữa trưa ít calo.,,,easy,B1,500,common,low-energy,high-calorie,"calorie, caloric","low-calorie meal, low-calorie food, low-calorie option",,low-calorie + noun,Không nhầm low-calorie với sugar-free; ít calo không có nghĩa là không có đường.,Thường dùng trước danh từ để mô tả thực phẩm.,Food / Health,low = thấp + calorie = calo.,contrast,low-calorie = ít calo,TRUE,2,,
,low-carbon,adjective,ít carbon; phát thải carbon thấp,/ˌloʊ ˈkɑːrbən/,Có mức phát thải carbon thấp hơn so với các lựa chọn thông thường.,The company is developing low-carbon transportation solutions.,Công ty đang phát triển các giải pháp giao thông ít carbon.,,,medium,B2,750,extremely common,carbon-efficient,high-carbon,"carbon, low-carbon","low-carbon technology, low-carbon economy, low-carbon transport",,low-carbon + noun,Low-carbon thường đứng trước danh từ và có dấu gạch nối.,Rất phổ biến trong climate/business English.,Environment / Business,low + carbon = ít carbon,wordplay,low-carbon = phát thải carbon thấp,TRUE,4,,
,low-fat,adjective,ít chất béo,/ˌloʊ ˈfæt/,Có hàm lượng chất béo thấp hơn sản phẩm thông thường.,The café offers several low-fat breakfast options.,Quán cà phê cung cấp một số lựa chọn bữa sáng ít chất béo.,,,easy,B1,500,extremely common,"reduced-fat, light","high-fat, full-fat","fat, fatty","low-fat milk, low-fat meal, low-fat yogurt",,low-fat + noun,Low-fat không có nghĩa là fat-free; sản phẩm vẫn có thể chứa chất béo.,Thường dùng trên menu và nhãn thực phẩm.,Food / Restaurant,low = thấp + fat = chất béo,contrast,low-fat ≠ fat-free,TRUE,2,,
,low-fat dish,noun phrase,món ít chất béo,/ˌloʊ ˈfæt dɪʃ/,Món ăn có hàm lượng chất béo thấp.,The menu includes several low-fat dishes.,Thực đơn gồm một số món ít chất béo.,,,easy,B1,500,common,"reduced-fat dish, light dish",high-fat dish,"fat, fatty","low-fat dish, healthy low-fat dish",,offer/choose a low-fat dish,Low-fat không đồng nghĩa fat-free; món vẫn có thể chứa một lượng chất béo.,Thường dùng trong menu và mô tả dinh dưỡng.,Food / Restaurant,low-fat = ít béo + dish = món ăn,contrast,low-fat dish ↔ high-fat dish,TRUE,2,,
,loyal,adjective,trung thành,/ˈlɔɪəl/,"Luôn ủng hộ hoặc gắn bó với một người, công ty hoặc thương hiệu.",The company offers rewards to its loyal customers.,Công ty cung cấp phần thưởng cho những khách hàng trung thành.,,,easy,B1,500,extremely common,"faithful, devoted",disloyal,"loyalty, loyally, disloyal","loyal customer, loyal employee, brand loyalty",,loyal to + person/company,Không dùng loyal with; cấu trúc chuẩn là loyal to someone/something.,Brand loyalty và loyal customers rất thường gặp trong Marketing.,Marketing; Customer Service,loyal → loyalty = trung thành,word_family,loyal to = trung thành với,TRUE,2,,
,loyal buyer,noun phrase,người mua trung thành,/ˈlɔɪəl ˈbaɪər/,Khách hàng thường xuyên mua và có xu hướng tiếp tục mua từ một thương hiệu.,Loyal buyers often recommend the brand to their friends.,Những người mua trung thành thường giới thiệu thương hiệu cho bạn bè.,,,medium,B2,650,common,"loyal customer, repeat buyer",,"loyalty, loyal, loyally","loyal buyer, repeat buyer",,loyal to + brand,Không nhầm loyal buyer với first-time buyer.,"Trong marketing, loyal customer phổ biến hơn loyal buyer.",Marketing,loyal = trung thành,word_family,loyal buyer = người mua trung thành,TRUE,3,,
,loyal customer,noun phrase,khách hàng trung thành,/ˈlɔɪəl ˈkʌstəmə/,Khách hàng thường xuyên mua hoặc tiếp tục sử dụng dịch vụ của doanh nghiệp.,The company offers special rewards to loyal customers.,Công ty dành phần thưởng đặc biệt cho khách hàng trung thành.,,,easy,B1,550,extremely common,regular customer,disloyal customer,"loyalty, loyal, loyally, customer","loyal customer base, loyal customers, reward loyal customers",,loyal to + company/brand,Không nhầm loyal với royalty; loyal là trung thành.,Cụm phổ biến trong marketing và customer service.,Marketing / Customer Service,loyal ≈ loyalty,word_family,loyal → loyalty,TRUE,2,,
,loyal fan,noun phrase,người hâm mộ trung thành,/ˈlɔɪəl fæn/,"Người luôn ủng hộ một nghệ sĩ, đội hoặc thương hiệu.",The singer thanked her loyal fans for their support.,Ca sĩ cảm ơn những người hâm mộ trung thành vì sự ủng hộ của họ.,,,easy,B1,500,common,devoted fan,critic,"loyalty, loyal",loyal fan base,,loyal to + person/brand,Không nhầm loyal với royalty.,Loyal mô tả sự trung thành.,Media / Marketing,loyal = trung thành,association,loyal fan = fan trung thành,TRUE,2,,
